,timestamp,vid,rtpidatafeed,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,oid,or_,rid,blk,tripid,tripdyn
98,1750292638,2319,None,20250618 17:23:58,33.868733526627764,-118.28819081276627,340.0,49,2,Kaiser Hospital >> Kaiser Hospital,31095.0,0,15.0,37321,37321,52,,1,N/A,61200.0,2025-06-18,114875,False,217,2502,389020,0
99,1750292637,2313,None,20250618 17:23:57,33.924069471767886,-118.28111470178894,5.0,14,1X,Redondo Beach Station > Harbor Fwy Station,48775.0,0,18.0,37071,37071,11X,,1,N/A,59940.0,2025-06-18,124917,False,306,102,128020,0
100,1750292636,0889,None,20250618 17:23:56,33.9049,-118.31116,91.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
101,1750292635,2402,None,20250618 17:23:55,33.82800831277277,-118.30905164361269,155.0,49,2,Kaiser Hospital >> Kaiser Hospital,97757.0,0,22.0,37318,37318,12,,1,N/A,57600.0,2025-06-18,125297,False,218,202,235020,0
102,1750292635,2018,None,20250618 17:23:55,33.892346101064895,-118.29603842447327,88.0,28,3,South Bay Galleria >> MLK Transit Center,23574.0,0,13.0,37467,37467,43,,1,N/A,61200.0,2025-06-18,125174,False,304,2302,759020,0
103,1750292634,2308,None,20250618 17:23:54,33.91650558700417,-118.32712516259838,274.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,32590.0,0,0.0,37778,37778,45,,1,N/A,61200.0,2025-06-18,124918,False,225,2402,722020,0
104,1750292634,2306,None,20250618 17:23:54,33.89851164525131,-118.30922198388528,163.0,49,2,Kaiser Hospital >> Kaiser Hospital,72537.0,0,17.0,37319,37319,32,,1,N/A,58800.0,2025-06-18,117024,False,212,1402,363020,0
105,1750292634,2303,None,20250618 17:23:54,33.858754049783116,-118.3092035297227,10.0,31,2,Kaiser Hospital >> Kaiser Hospital,28757.0,0,0.0,37273,37273,62,,1,N/A,61200.0,2025-06-18,115782,False,213,2602,163020,0
106,1750292632,2314,None,20250618 17:23:52,33.92744830421384,-118.30901866153312,0.0,31,2,Kaiser Hospital >> Kaiser Hospital,54105.0,0,32.0,37272,37272,92,,1,N/A,60000.0,2025-06-18,125170,False,216,3202,206020,0
107,1750292632,2310,None,20250618 17:23:52,33.95246823019275,-118.37006716540384,359.0,26,5,Willowbrook / Rosa Park Station >> LAX TC,64587.0,0,5.0,37777,37777,35,,1,N/A,59400.0,2025-06-18,117030,False,307,1702,46020,0
108,1750292631,2017,None,20250618 17:23:51,33.904608333333336,-118.31084166666666,334.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
109,1750292631,1000,None,20250618 17:23:51,33.90425,-118.30987,79.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
110,1750292630,2004,None,20250618 17:23:50,33.916409038789304,-118.36155967421566,89.0,9,5,LAX Transit Center >> Willowbrook / Rosa,19223.0,0,16.0,37745,37745,25,,1,N/A,61320.0,2025-06-18,108020,False,224,1302,277020,0
111,1750292629,2320,None,20250618 17:23:49,33.89145163146757,-118.30002447011624,247.0,46,3,MLK Transit Center >> South Bay Galleria,37826.0,0,0.0,37496,37496,33,,1,N/A,60720.0,2025-06-18,125177,False,226,1502,483020,0
112,1750292627,2403,None,20250618 17:23:47,33.8682,-118.35762833333335,86.0,46,3,MLK Transit Center >> South Bay Galleria,60574.0,1,0.0,37495,37495,13,,1,N/A,58920.0,2025-06-18,125430,False,305,302,451020,0
113,1750292626,0891,None,20250618 17:23:46,33.90446,-118.30988,72.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
114,1750292624,2318,None,20250618 17:23:44,33.92367524617943,-118.29181246410697,179.0,31,2,Kaiser Hospital >> Kaiser Hospital,63192.0,0,16.0,37271,37271,42,,1,N/A,58800.0,2025-06-18,115120,False,220,2202,497020,0
115,1750292624,0843,None,20250618 17:23:44,33.90484,-118.30937,98.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
116,1750292623,R5,None,20250618 17:23:43,33.90466575,-118.30982158,82.0,-1,U,,0.0,0,0.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
117,1750292620,2307,None,20250618 17:23:40,33.85777262889401,-118.29925986735347,180.0,31,2,Kaiser Hospital >> Kaiser Hospital,92535.0,0,0.0,37270,37270,22,,1,N/A,57600.0,2025-06-18,82963,False,219,1002,463020,0
118,1750292620,2006,None,20250618 17:23:40,33.898452541591105,-118.2211889747519,268.0,28,3,South Bay Galleria >> MLK Transit Center,60720.0,0,18.0,37466,37466,23,,1,N/A,59460.0,2025-06-18,114240,False,223,1102,552020,0
119,1750292620,0845,None,20250618 17:23:40,33.94098,-118.37,360.0,-1,U,,0.0,0,29.0,N/A,,N/A,,1,N/A,,,N/A,True,N/A,,,0
120,1750292619,2015,None,20250618 17:23:39,33.797605522434225,-118.29735888277757,339.0,49,2,Kaiser Hospital >> Kaiser Hospital,3215.0,0,0.0,37322,37322,112,,1,N/A,62400.0,2025-06-18,123244,False,221,702,417020,0
121,1750292619,2009,None,20250618 17:23:39,33.789443977843455,-118.30080958545351,89.0,49,2,Kaiser Hospital >> Kaiser Hospital,113290.0,0,33.0,37317,37317,122,,1,N/A,56400.0,2025-06-18,123504,False,222,802,421020,0
